Endorser,Date
Nancy Pelosinew,6-7-2016
Jerry Brownnew,5-31-2016
Norma Torresnew,5-29-2016
Robert Menendeznew,5-25-2016
Albio Siresnew,5-21-2016
Sam Farrnew,5-21-2016
Earl Ray Tomblinnew,4-29-2016
Brendan Boylenew,4-26-2016
Robert Bradynew,4-25-2016
Mike Doylenew,4-16-2016
Elijah Cummingsnew,4-10-2016
Ron Kindnew,3-29-2016
Kate Brownnew,3-21-2016
Gwen Grahamnew,3-7-2016
Lloyd Doggettnew,2-28-2016
Ben R. Lujannew,2-26-2016
Susan Davisnew,2-24-2016
Raul Ruiznew,2-24-2016
Harry Reidnew,2-24-2016
Mark DeSaulniernew,2-24-2016
Eric Swalwellnew,2-24-2016
James E. Clyburnnew,2-19-2016
Juan Vargasnew,2-7-2016
Jim Costanew,2-5-2016
Alma Adamsnew,2-3-2016
Chaka Fattahnew,2-1-2016
Ron Wydennew,1-30-2016
Al Greennew,1-29-2016
David Pricenew,1-26-2016
Mike Quigleynew,1-19-2016
Frank Pallone Jr.new,1-8-2016
G.K. Butterfieldnew,1-7-2016
Earl Blumenauernew,12-18-2015
Linda Sáncheznew,12-16-2015
Brad Ashfordnew,12-15-2015
Michael E. Capuanonew,12-7-2015
Jackie Speiernew,11-30-2015
Pete Aguilarnew,11-30-2015
Jerry McNerneynew,11-30-2015
Maxine Watersnew,11-30-2015
Anna G. Eshoonew,11-30-2015
John A. Yarmuthnew,11-19-2015
Donna F. Edwardsnew,11-17-2015
Jack Reednew,11-17-2015
C. A. Dutch Ruppersbergernew,11-17-2015
John P. Sarbanesnew,11-17-2015
Alan Graysonnew,11-17-2015
Ruben Gallegonew,11-16-2015
Suzan DelBenenew,11-14-2015
Jay Insleenew,11-14-2015
Denny Hecknew,11-14-2015
Ann Kirkpatricknew,11-13-2015
Bobby L. Rushnew,11-13-2015
Joe Donnellynew,11-13-2015
Tony Cárdenasnew,11-11-2015
Gwen Moorenew,11-11-2015
Corrine Brownnew,11-11-2015
Christopher A. Coonsnew,11-10-2015
Bennie G. Thompsonnew,11-9-2015
Seth Moultonnew,11-8-2015
Maria Cantwellnew,11-5-2015
Jay Nixonnew,11-4-2015
Heidi Heitkampnew,10-28-2015
Jared Huffmannew,10-28-2015
Sherrod Brownnew,10-27-2015
John Carneynew,10-26-2015
Thomas R. Carpernew,10-26-2015
Paul D. Tonkonew,10-23-2015
Jack Markellnew,10-21-2015
Eliot Engelnew,10-20-2015
Joe Courtneynew,10-19-2015
William Keatingnew,10-16-2015
Edward J. Markeynew,10-14-2015
Yvette D. Clarkenew,10-13-2015
Hakeem Jeffriesnew,10-13-2015
John Hickenloopernew,10-5-2015
Robert C. Scottnew,10-5-2015
Maggie Hassannew,9-17-2015
Ann Kusternew,9-13-2015
David Loebsacknew,9-7-2015
Cheri Bustosnew,9-7-2015
Zoe Lofgrennew,9-1-2015
Tammy Baldwinnew,8-31-2015
Timothy J. Walznew,8-28-2015
Donald Payne Jr.new,8-24-2015
Bill Pascrell Jr.new,8-24-2015
Bonnie Watson Colemannew,8-24-2015
John Garamendinew,8-24-2015
Jim Himesnew,8-18-2015
Xavier Becerranew,8-6-2015
Scott Petersnew,8-5-2015
Lois Cappsnew,7-15-2015
Marcia L. Fudgenew,7-15-2015
André Carsonnew,7-14-2015
Suzanne Bonamicinew,7-13-2015
Niki Tsongasnew,6-27-2015
Don Beyernew,6-26-2015
Brenda Lawrencenew,6-26-2015
Matthew Cartwrightnew,6-23-2015
William Lacy Clay Jr,6-23-2015
Tom Wolfnew,6-13-2015
Elizabeth Estynew,6-13-2015
John B. Larsonnew,6-13-2015
Dannel P. Malloynew,6-7-2015
Steve Cohennew,6-5-2015
Christopher Murphynew,6-4-2015
Katherine Clarknew,5-27-2015
Peter Shumlinnew,5-20-2015
Joseph P. Kennedy IIInew,5-14-2015
James McGovernnew,5-12-2015
Michael F. Bennetnew,5-5-2015
Gary Petersnew,5-5-2015
Mike Thompsonnew,5-4-2015
Kathy Castornew,5-4-2015
Jared Polisnew,5-4-2015
Brad Shermannew,5-4-2015
Sean Patrick Maloneynew,5-4-2015
Julia Brownleynew,5-4-2015
Kurt Schradernew,5-4-2015
Patrick Murphynew,5-4-2015
Marc Veaseynew,5-4-2015
Joyce Beattynew,5-4-2015
Daniel Kildeenew,5-4-2015
Gerald E. Gerry Connollynew,5-4-2015
Adam Schiffnew,5-4-2015
Rubén Hinojosanew,5-4-2015
Derek Kilmernew,5-4-2015
Ed Perlmutternew,5-4-2015
Henry Cuellarnew,5-4-2015
Filemon Velanew,5-4-2015
Eddie Bernice Johnsonnew,5-4-2015
Jim Coopernew,5-4-2015
Kathleen Ricenew,5-4-2015
Adam Smithnew,5-4-2015
Jose E. Serranonew,5-4-2015
Emanuel Cleavernew,4-29-2015
Robert P. Casey Jr,4-24-2015
Steve Israelnew,4-23-2015
Cory A. Bookernew,4-23-2015
John Conyers Jr.new,4-22-2015
Gina M. Raimondonew,4-16-2015
Jim McDermottnew,4-15-2015
