James E. Clyburnnew|2016-01-12|414408
James E. Clyburnnew|2016-01-13|377555
James E. Clyburnnew|2016-01-14|410641
James E. Clyburnnew|2016-01-15|341264
James E. Clyburnnew|2016-01-16|170441
James E. Clyburnnew|2016-01-17|176909
James E. Clyburnnew|2016-01-18|281998
James E. Clyburnnew|2016-01-19|405229
James E. Clyburnnew|2016-01-20|338896
James E. Clyburnnew|2016-01-21|315398
James E. Clyburnnew|2016-01-22|275013
James E. Clyburnnew|2016-01-23|168307
James E. Clyburnnew|2016-01-24|135873
James E. Clyburnnew|2016-01-25|334132
James E. Clyburnnew|2016-01-26|409963
