Ben R. Lujannew|2016-02-19|884771
Ben R. Lujannew|2016-02-20|155702
Ben R. Lujannew|2016-02-21|44042
Ben R. Lujannew|2016-02-22|787457
Ben R. Lujannew|2016-02-23|919007
Ben R. Lujannew|2016-02-24|1040364
Ben R. Lujannew|2016-02-25|74788
Ben R. Lujannew|2016-02-26|621934
Ben R. Lujannew|2016-02-27|23514
Ben R. Lujannew|2016-02-28|42501
Ben R. Lujannew|2016-02-29|602894
Ben R. Lujannew|2016-03-01|187985
Ben R. Lujannew|2016-03-02|722035
Ben R. Lujannew|2016-03-03|478520
Ben R. Lujannew|2016-03-04|83250
