James E. Clyburnnew|2016-02-12|592207
James E. Clyburnnew|2016-02-13|89770
James E. Clyburnnew|2016-02-14|9793
James E. Clyburnnew|2016-02-15|206428
James E. Clyburnnew|2016-02-16|344108
James E. Clyburnnew|2016-02-17|629065
James E. Clyburnnew|2016-02-18|514974
James E. Clyburnnew|2016-02-19|884771
James E. Clyburnnew|2016-02-20|155702
James E. Clyburnnew|2016-02-21|44042
James E. Clyburnnew|2016-02-22|787457
James E. Clyburnnew|2016-02-23|919007
James E. Clyburnnew|2016-02-24|1040364
James E. Clyburnnew|2016-02-25|74788
James E. Clyburnnew|2016-02-26|621934
